id;question;answer
1;Did you hear about the claustrophobic astronaut?;He just needed a little space
2;Why don’t scientists trust atoms?;Because they make up everything.
3;Why did the chicken go to the séance?;To get to the other side.
4;How do you drown a hipster?;Throw him in the mainstream.
5;Why can’t you explain puns to kleptomaniacs?;They always take things literally.
6;A man tells his doctor, “Doc, help me. I’m addicted to Twitter!”;The doctor replies, “Sorry, I don’t follow you …”
7;What did the left eye say to the right eye?;Between you and me, something smells.
8;What do you call a fake noodle?;An impasta.
9;Why did the hipster burn his mouth?;He drank the coffee before it was cool.
10;Once my dog ate all the Scrabble tiles.;He kept leaving little messages around the house.
11;I told my wife she was drawing her eyebrows too high.;She looked at me surprised.
